,Partido,Sigla,Votos,escaños
63,OURENSE POLA ESQUERDA,ESQ,978,0
11,BLOQUE ARAGONÉS,BAR,1179,0
25,INICIATIVA MERINDADES DE CASTILLA,IMC,1210,0
23,FORO DEMÓCRATA,FDEE,1212,0
54,"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA","JS,PC",1392,0
40,SOLUCIONA,SOLUCIONA,1566,0
22,FAMILIA Y VIDA,PFyV,1568,0
28,"NOSOTROS Y TU, PARTIDO POLÍTICO",NOSOTROS,1581,0
14,CIUDADANOS RURALES AGRUPADOS,CRA,1606,0
45,ANDALUCES DE JAÉN UNIDOS,AJU,1815,0
65,INDEPENDIENTES POR ARAGÓN,Independientes-FIA,2697,0
13,CIUDADANOS LIBRES UNIDOS,CILUS,3139,0
10,BADAJOZ ADELANTE,BADAJOZ ADELANTE,4014,0
53,SOM MENORCA,SOM MENORCA,4122,0
16,DEMOCRACIA NACIONAL,DN,4411,0
9,AGRUPACIÓN SOCIALISTA GOMERA,ASG,4435,1
64,EN POSITIU,EN POSITIU,4547,0
59,AVANT VALENCIANS,AVANT,4923,0
24,INICIATIVA FEMINISTA,IFem,5538,0
26,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Ln,5665,0
47,UNIDOS POR GRAN CANARIA,UxGC,5880,0
46,"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y ALTERNATIVA REPUBLICANA",CANARIAS DECIDE,6328,0
33,PARTIDO LIBERTARIO,P-LIB,7746,0
49,"ARA, PAÍS VALENCIÀ",ARAPV,7820,0
27,LOS VERDES-ECOPACIFISTAS,CENTRO MODERADO,9365,0
35,PARTIDO REGIONALISTA DEL PAÍS LEONES,PREPAL,9712,0
31,PARTIDO DA TERRA,PT,9820,0
51,EXTREMADURA UNIDA-EXTREMEÑOS,EU-eX,9951,0
32,PARTIDO HUMANISTA,PH,10996,0
39,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,SAIn,18269,0
38,POR UN MUNDO MÁS JUSTO,PUM+J,19849,0
41,SOM VALENCIANS,SOMVAL,19891,0
12,CIUDADANOS DE CENTRO DEMOCRÁTICO,CCD,20073,0
17,EL PI - PROPOSTA PER LES ILLES,EL PI,30480,0
21,FALANGE ESPAÑOLA DE LAS J.O.N.S.,FE de las JONS,37772,0
56,MÉS,MÉS,60402,0
18,ESCAÑOS EN BLANCO,EB,88418,0
30,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,PCPE,105025,0
42,UNIÓ DEMOCRÀTICA DE CATALUNYA,unio.cat,153272,0
48,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO,CCa-PNC,156593,1
52,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,173010,0
44,VOX,VOX,194723,0
60,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),NÓS,276290,0
55,CAMBIO-ALDAKETA,CAMBIO-ALDAKETA,282155,1
19,EUSKAL HERRIA BILDU,EH Bildu,562657,0
43,UNIÓN PROGRESO Y DEMOCRACIA,UPYD,615375,0
20,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,EAJ-PNV,905029,6
62,EN MAREA,PODEMOS-En Marea-ANOVA-EU,981787,2
29,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,1034488,0
57,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES. REAGRUPAMENT,DL,1526785,6
58,COMPROMÍS-PODEMOS-ÉS EL MOMENT,PODEMOS-COMPROMÍS,1727484,1
66,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,ERC-CATSI,1878596,6
61,EN COMÚ PODEM,EN COMÚ,2013288,4
50,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN",IU-UPeC,2361081,0
15,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,C's,7377905,0
37,PODEMOS,PODEMOS,7448351,9
36,PARTIDO SOCIALISTA OBRERO ESPAÑOL,PSOE,15088727,47
34,PARTIDO POPULAR,PP,19792225,124
