,Partido,Votos 2015,% 2015,Escanos 2015,Votos 2016,% 2016,Escanos 2016
0,C's,3514528,13.94,40,3122192,13.05,32
1,CCD,10827,0.04,0,6264,0.03,0
2,CCa-PNC,81917,0.32,1,77873,0.33,1
3,CENTRO MODERADO,3278,0.01,0,2986,0.01,0
4,EAJ-PNV,302316,1.2,6,286215,1.2,5
5,EB,10084,0.04,0,12021,0.05,0
6,EH Bildu,219125,0.87,2,184092,0.77,2
7,ERC-CATSI,601782,2.39,9,629213,2.63,9
8,FE de las JONS,7495,0.03,0,9852,0.04,0
9,GBAI,30642,0.12,0,14289,0.06,0
10,P-LIB,2854,0.01,0,3101,0.01,0
11,PACMA,220369,0.87,0,284763,1.19,0
12,PCOE,1909,0.01,0,1812,0.01,0
13,PCPE,31179,0.12,0,26549,0.11,0
14,PH,2846,0.01,0,3287,0.01,0
15,PODEMOS,5212711,20.679999999999996,69,4199683,17.55,59
16,PP,7236965,28.71,123,7902147,33.03,137
17,PSOE,5545315,22.0,90,5423171,22.67,85
18,RECORTES CERO-GRUPO VERDE,48675,0.19,0,51719,0.22,0
19,SAIn,4400,0.02,0,3218,0.01,0
20,SOMVAL,6103,0.02,0,6612,0.03,0
21,VOX,58114,0.23,0,46742,0.2,0
